time,lAnkle/0,lAnkle/1,lAnkle/2,lEar/0,lEar/1,lEar/2,lElbow/0,lElbow/1,lElbow/2,lEye/0,lEye/1,lEye/2,lHip/0,lHip/1,lHip/2,lKnee/0,lKnee/1,lKnee/2,lShoulder/0,lShoulder/1,lShoulder/2,lWrist/0,lWrist/1,lWrist/2,neck/0,neck/1,neck/2,nose/0,nose/1,nose/2,rAnkle/0,rAnkle/1,rAnkle/2,rEar/0,rEar/1,rEar/2,rElbow/0,rElbow/1,rElbow/2,rEye/0,rEye/1,rEye/2,rHip/0,rHip/1,rHip/2,rKnee/0,rKnee/1,rKnee/2,rShoulder/0,rShoulder/1,rShoulder/2,rWrist/0,rWrist/1,rWrist/2
-1.998708,1.964828307,59.82493793,1.141026094,1.516283211,59.5260714,6.518379773,0.607082675,59.01424234,6.336202078,1.242571918,59.66699549,6.564298046,1.700868741,59.70720762,4.399596462,1.789193638,59.74084988,2.60406515,1.525035047,59.17076004,5.946292762,0.864662953,59.54433821,6.889531144,1.570013787,59.84861164,6.039180488,1.172039182,59.728859,6.580124843,1.021378837,60.37127096,1.198067113,1.479542906,59.99092943,6.59425868,0.945103717,60.82634713,6.548460817,1.231855996,59.80257908,6.586429394,1.433629895,60.23141246,4.432464236,1.078443021,60.30942397,2.671605405,1.747276378,60.50205837,6.028316991,1.119446906,60.11743904,6.895690582
-1.995369,1.965924611,59.82537029,1.138121514,1.501913275,59.53556906,6.515442745,0.603777813,59.01948179,6.341814772,1.231595089,59.68437557,6.556316443,1.698651759,59.70792034,4.394772732,1.788326919,59.74182246,2.602003809,1.524653465,59.17295253,5.943323546,0.869145335,59.54820463,6.893320296,1.57107388,59.85213365,6.034241324,1.162587517,59.74829597,6.570619829,1.017999989,60.37056313,1.195391331,1.476987725,60.00193299,6.586743891,0.944430727,60.82925748,6.554370966,1.224325137,59.82039838,6.577112611,1.432005709,60.23246293,4.427061356,1.070652049,60.31160386,2.670253684,1.747431082,60.50751185,6.023276666,1.119568145,60.11763452,6.896479436
-1.992042,1.966441254,59.82640087,1.138081774,1.494032997,59.53773584,6.511615414,0.600800486,59.02766736,6.345488941,1.225992016,59.69088271,6.551440369,1.697001169,59.7089409,4.391098634,1.78826567,59.74292513,2.602191853,1.521836386,59.17183375,5.940608285,0.874645672,59.55067945,6.89988597,1.569951019,59.85281978,6.030460869,1.157967737,59.75591045,6.56545959,1.014851382,60.36916687,1.195700554,1.476333498,60.00448833,6.582532917,0.942324537,60.83122694,6.560467663,1.220829662,59.82701885,6.572124641,1.429608634,60.23311445,4.423206607,1.064463347,60.31191276,2.671027135,1.743838933,60.51178613,6.023269161,1.115171885,60.11634328,6.899505222
-1.988709,1.966814994,59.82730559,1.137760651,1.484524088,59.54214376,6.508411502,0.598511605,59.03446601,6.349361412,1.218813222,59.69992659,6.545671018,1.69542852,59.70967636,4.38712996,1.78799752,59.7436689,2.60207773,1.519291473,59.17097793,5.938003273,0.880466491,59.55225057,6.906189794,1.569103523,59.85379783,6.026468363,1.151791151,59.76614413,6.558927269,1.011691793,60.36815935,1.195969173,1.474149913,60.00943391,6.577206374,0.941984981,60.83343791,6.566764222,1.215787421,59.83621955,6.565736188,1.42730435,60.23348204,4.419140019,1.057746516,60.31244755,2.671762278,1.740999018,60.51604543,6.022194845,1.114863233,60.11598282,6.902950117
-1.98537,1.967037664,59.82804802,1.1373074,1.473793841,59.54835334,6.505721868,0.596948495,59.03972416,6.35340266,1.210421749,59.7108579,6.53908903,1.693977946,59.71015732,4.383025959,1.787566633,59.74406273,2.60181956,1.517142366,59.17024398,5.935587131,0.886560729,59.55278982,6.912258237,1.568527881,59.85492923,6.02241263,1.144396775,59.77829079,6.551170259,1.008650351,60.36745481,1.196334335,1.470617965,60.01625307,6.570992067,0.943087585,60.83571102,6.573250546,1.209495452,59.84732865,6.558126171,1.425095885,60.23357507,4.415024218,1.050650749,60.3131484,2.672593412,1.738776471,60.5202093,6.020321447,1.118050234,60.11626602,6.906732962
-1.982043,1.967110664,59.82860061,1.136849674,1.462277397,59.55591622,6.503433127,0.596135593,59.04333148,6.357567243,1.201200226,59.72300901,6.5317998,1.692688722,59.71042173,4.378941717,1.787018416,59.74412575,2.601551365,1.515490664,59.16952217,5.933428831,0.892853456,59.55223586,6.918081239,1.568212599,59.85609667,6.018437701,1.136140794,59.79162417,6.54236759,1.005844226,60.3669701,1.19690325,1.46594042,60.02443055,6.564107234,0.94530895,60.83788418,6.579872106,1.202268608,59.85965902,6.549496415,1.422994295,60.23341677,4.411015136,1.043349516,60.31395711,2.673621935,1.737043914,60.52419534,6.017896049,1.124119616,60.11693931,6.910717547
-1.978716,1.967046965,59.82895373,1.136485216,1.450273559,59.56447849,6.50141068,0.596067781,59.04528134,6.361850006,1.191415517,59.73587,6.523847741,1.691575585,59.71051945,4.374967363,1.786391818,59.74388948,2.601377446,1.514387701,59.16872571,5.931554873,0.899329301,59.55058833,6.923695791,1.568132435,59.8572223,6.014623787,1.1272738,59.80559289,6.532623152,1.003335683,60.36661856,1.197758268,1.460271397,60.03356955,6.556674318,0.948356246,60.83984635,6.586626477,1.194331554,59.87268822,6.539966302,1.42098801,60.23304304,4.407201835,1.035934795,60.31482931,2.674928352,1.735658366,60.52797999,6.01511137,1.132515224,60.11779144,6.914784845
-1.975383,1.966867885,59.82910593,1.13628797,1.438060644,59.57371899,6.499540471,0.596731494,59.04560084,6.366240254,1.18130571,59.74897514,6.515293004,1.690645868,59.710506,4.37117368,1.785723649,59.74339143,2.601376416,1.5138617,59.16779804,5.92997791,0.905964934,59.54789047,6.929117751,1.568256288,59.85825465,6.011032862,1.118015512,59.81969361,6.522052983,1.001167764,60.36631892,1.198955019,1.453744159,60.04332362,6.548794501,0.951960319,60.84151027,6.593495378,1.185880069,59.88594316,6.529658763,1.4190674,60.2325001,4.403652855,1.028493625,60.31572771,2.676565597,1.734489331,60.5315531,6.012125737,1.142717564,60.11864741,6.91880222
-1.97205,1.966605188,59.82906584,1.136307999,1.425927772,59.58332113,6.497735318,0.598093021,59.04436905,6.37070985,1.171107019,59.76187087,6.506240134,1.689899175,59.71044491,4.367618325,1.785050906,59.74267971,2.601600777,1.513912256,59.16671526,5.928696628,0.912711588,59.54424425,6.934333361,1.56854402,59.85916662,6.007713887,1.108580079,59.83343796,6.510820718,0.999365554,60.36599428,1.200517025,1.446493548,60.05336605,6.540575408,0.955858688,60.8428105,6.600431277,1.177105371,59.89896731,6.51873516,1.417227031,60.23184829,4.400420978,1.02112397,60.31662006,2.678553233,1.733417725,60.53491425,6.009075178,1.154194941,60.11935999,6.922620527
-1.968717,1.966300452,59.8288539,1.136569418,1.414109121,59.59302599,6.495927519,0.600096626,59.04172559,6.375234603,1.161000379,59.77419213,6.49679474,1.689321354,59.71040778,4.364324218,1.784406971,59.74181131,2.602075831,1.514504355,59.16548205,5.927685958,0.919527116,59.53979844,6.939328348,1.568946231,59.85996143,6.004682089,1.099127644,59.8464346,6.499083541,0.997923215,60.36557084,1.202440136,1.438623172,60.06344235,6.532093269,0.959815387,60.84371316,6.60739454,1.16815031,59.9113969,6.507343083,1.415454736,60.23115968,4.397522565,1.013894554,60.31748463,2.680884642,1.732330533,60.53809341,6.006058543,1.166454215,60.11981145,6.926099939
